group,definition,measured_at_next_loop,n_problems(denominator),mean_next_raw,mean_next_canonical_unique,p_next_solved_retention,p_next_drop_to_zero,p_next_reaches_2-4,p_next_reaches_5-8,p_next_reaches_9-15,p_next_reaches_16,frac_next_raw_bucket_0,frac_next_raw_bucket_1,frac_next_raw_bucket_2-4,frac_next_raw_bucket_5-8,frac_next_raw_bucket_9-15,frac_next_raw_bucket_16,frac_next_canon_bucket_0,frac_next_canon_bucket_1,frac_next_canon_bucket_2-4,frac_next_canon_bucket_5-8,frac_next_canon_bucket_9-15,frac_next_canon_bucket_16
A_native_1,loop0 canon_u==1,loop1,56,4.393,2.982,0.839,0.161,0.375,0.286,0.071,0.036,0.1607,0.0714,0.375,0.2857,0.0714,0.0357,0.1607,0.1607,0.4643,0.1964,0.0179,0.0
B_discovered_0to1,loop0 canon_u==0 AND loop1 canon_u==1,loop2,18,2.778,2.444,0.778,0.222,0.389,0.222,0.0,0.0,0.2222,0.1667,0.3889,0.2222,0.0,0.0,0.2222,0.1667,0.5,0.1111,0.0,0.0
